Airport,ShortName,Location,Country,Size
Silvio Pettirossi Airport,ASU,Asuncion,Paraguay,2
Ayolas Airport,AYO,Ayolas,Paraguay,1
Bahia Negra Airport,BFA,Bahia Negra,Paraguay,1
Alejo Garcia Airport,AGT,Ciudad del Este,Paraguay,1
MCAL Lopez Airport,CIO,Concepcion,Paraguay,1
Teniente Prim Alarcon Airport,ENO,Encarnacion,Paraguay,1
Filadelfia Airport,FLM,Filadelfia,Paraguay,1
Fuerte Olimpo Airport,OLK,Fuerte Olimpo,Paraguay,1
Mariscal Estigarribia Airport,ESG,Mariscal Estigarribia,Paraguay,1
Pedro Juan Caballero Airport,PJC,Pedro Juan Caballero,Paraguay,1
Pilar Airport,PIL,Pilar,Paraguay,1
Puerto La Victoria Airport,PCJ,Puerto La Victoria,Paraguay,1
Puerto Leda Airport,PBT,Puerto Leda,Paraguay,1
INC Airport,VMI,Vallemi,Paraguay,1
Comalapa International Airport,SAL,San Salvador,El Salvador,2
Chachoan Airport,ATF,Ambato,Ecuador,1
Bahia De Caraquez Airport,BHA,Bahia De Caraquez,Ecuador,1
Coca Airport,OCC,Coca,Ecuador,1
Cuenca Airport,CUE,Cuenca,Ecuador,1
Esmeraldas Airport,ESM,Esmeraldas,Ecuador,1
Baltra Airport,GPS,Galapagos Is,Ecuador,1
Simon Bolivar Airport,GYE,Guayaquil,Ecuador,2
Jipijapa Airport,JIP,Jipijapa,Ecuador,1
Lago Agrio Airport,LGQ,Lago Agrio,Ecuador,1
Cotapaxi International Airport,LTX,Latacunga,Ecuador,1
Loja Airport,LOH,Loja,Ecuador,1
Macara Airport,MRR,Macara,Ecuador,1
Macas Airport,XMS,Macas,Ecuador,1
Machala Airport,MCH,Machala,Ecuador,1
Manta Airport,MEC,Manta,Ecuador,1
Mendez Airport,MZD,Mendez,Ecuador,1
Pastaza Airport,PTZ,Pastaza,Ecuador,1
Portoviejo Airport,PVO,Portoviejo,Ecuador,1
Putumayo Airport,PYO,Putumayo,Ecuador,1
Mariscal Sucr Airport,UIO,Quito,Ecuador,2
Salinas Airport,SNC,Salinas,Ecuador,1
San Cristobal Airport,SCY,San Cristobal,Ecuador,1
Sucua Airport,SUQ,Sucua,Ecuador,1
Taisha Airport,TSC,Taisha,Ecuador,1
Tarapoa Airport,TPC,Tarapoa,Ecuador,1
Tiputini Airport,TPN,Tiputini,Ecuador,1
Tulcan Airport,TUA,Tulcan,Ecuador,1
Achutupo Airport,ACU,Achutupo,Panama,1
Ailigandi Airport,AIL,Ailigandi,Panama,1
Bahia Pinas Airport,BFQ,Bahia Pinas,Panama,1
Balboa Airport,BLB,Balboa,Panama,1
Bocas Del Toro Airport,BOC,Bocas Del Toro,Panama,1
Caledonia Airport,CDE,Caledonia,Panama,1
Carti Airport,CTE,Carti,Panama,1
Changuinola Airport,CHX,Changuinola,Panama,1
Chitre Airport,CTD,Chitre,Panama,1
Colon Airport,ONX,Colon,Panama,1
Contadora Airport,OTD,Contadora,Panama,1
Corazon De Jesus Airport,CZJ,Corazon De Jesus,Panama,1
Enrique Malek Airport,DAV,David,Panama,1
El Porvenir Airport,PVE,El Porvenir,Panama,1
El Real Airport,ELE,El Real,Panama,1
Garachine Airport,GHE,Garachine,Panama,1
Jaque Airport,JQE,Jaque,Panama,1
La Palma Airport,PLP,La Palma,Panama,1
Mamitupo Airport,MPI,Mamitupo,Panama,1
Mulatupo Airport,MPP,Mulatupo,Panama,1
Nargana Airport,NGN,Nargana,Panama,1
Rochambeau Airport,CAY,Cayenne,French Guiana,2
Maripasoula Airport,MPY,Maripasoula,French Guiana,1
Regina Airport,REI,Regina,French Guiana,1
Saul Airport,XAU,Saul,French Guiana,1
St-Laurent du Maroni Airport,LDX,St Laurent du Maroni,French Guiana,1
St. Georges de l'Oyapock Airport,OYP,St. Georges de l'Oyapock,French Guiana,1
