Date (B.S.),Date (A.D.),Local Time,UTC Time,Latitude,Longitude,Magnitude,Remarks,Epicenter
2063-7-26,2006-11-11,11:00,05:15,27.21,87.63,4.2,NSC,Tehrathum
2063-6-11,2006-09-26,11:00,05:15,30.1,80.83,4.5,NSC,Darchula
2063-6-4,2006-09-19,11:00,05:15,29.62,81.54,5,NSC,Bajura
2063-6-2,2006-09-17,11:00,05:15,26.98,87.8,4.2,NSC,Illam
2063-5-15,2006-08-30,11:00,05:15,29.05,83.6,4.3,NSC,Mustang
2063-4-31,2006-08-15,11:00,05:15,27.89,85.7,4.3,NSC,Sindhupalchowk
2063-1-23,2006-05-05,11:00,05:15,29.43,81.26,4.8,NSC,Bajhang
2062-12-23,2006-04-04,11:00,05:15,27.91,85.83,4.6,NSC,Sindhupalchowk
2062-11-8,2006-02-19,11:00,05:15,28.24,83.89,4.7,NSC,Baglung
2062-10-22,2006-02-03,11:00,05:15,27.18,86.8,5.4,NSC,Khotang
2062-7-21,2005-11-06,11:00,05:15,29.61,82.02,5.1,NSC,Mugu
2062-7-15,2005-10-31,11:00,05:15,28.65,84.83,4.5,NSC,Gorkha
2062-7-15,2005-10-31,11:00,05:15,29.64,82.06,5.1,NSC,Mugu
2062-7-13,2005-10-29,11:00,05:15,29.5,81.88,5.1,NSC,Mugu
2062-5-13,2005-08-28,11:00,05:15,27.31,87.22,5.3,NSC,Sankhuwasava
2062-4-25,2005-08-08,11:00,05:15,27.98,85.51,4.2,NSC,Sindhupalchowk
2062-4-13,2005-07-27,11:00,05:15,27.47,68.88,4.3,NSC,Solukhumbu
2062-3-1,2005-06-14,11:00,05:15,27.28,87.89,4.5,NSC,Tibet
2062-1-23,2005-05-05,11:00,05:15,27.69,87.7,4.1,NSC,Taplejung
2062-1-3,2005-04-15,11:00,05:15,27.92,85.71,4.1,NSC,Sindhupalchowk
2061-12-26,2005-04-07,11:00,05:15,29.35,81.88,4.2,NSC,Kalikot
2061-12-23,2005-04-04,11:00,05:15,28.54,83.31,4.1,NSC,Myagdi
2066-9-2,2009-12-16,11:00,05:15,29.6,81.51,4.6,NSC,Bajura
2066-9-1,2009-12-15,11:00,05:15,28.28,84.4,4.1,NSC,Lamjung
2066-8-8,2009-11-22,11:00,05:15,29.02,82.15,4.5,NSC,Jajarkot
2066-7-23,2009-11-08,11:00,05:15,30.11,81.91,4.3,NSC,Humla
2066-7-17,2009-11-02,11:00,05:15,27.87,87.94,4,NSC,Taplejung
2066-7-16,2009-11-01,11:00,05:15,30.1,81.81,4.5,NSC,Humla
2061-12-23,2005-04-04,11:00,05:15,28.56,83.18,4.1,NSC,Myagdi
2061-12-17,2005-03-29,11:00,05:15,28.15,84.37,4,NSC,Lamjung
2061-12-17,2005-03-29,11:00,05:15,28.04,84.74,4,NSC,Gorkha
2061-12-17,2005-03-29,11:00,05:15,28.14,84.8,4.1,NSC,Gorkha
2061-12-17,2005-03-29,11:00,05:15,28.11,84.77,4.4,NSC,Gorkha
2061-12-7,2005-03-19,11:00,05:15,28.25,84.39,5.4,NSC,Lamjung
2066-7-13,2009-10-29,11:00,05:15,28.73,83.11,4.1,NSC,Rukum
2066-6-11,2009-09-26,11:00,05:15,29.81,82.05,4.3,NSC,Humla
2066-4-19,2009-08-02,11:00,05:15,28.12,85.18,4,NSC,Rasuwa
2066-3-29,2009-07-12,11:00,05:15,27.71,86.36,4.3,NSC,Dolakha
2066-2-1,2009-05-14,11:00,05:15,27.43,87.35,4.2,NSC,Sankhuwasava
2066-2-1,2009-05-14,11:00,05:15,27.48,87.36,4.6,NSC,Sankhuwasava
2061-11-23,2005-03-05,11:00,05:15,28.27,84.39,5,NSC,Lamjung
2061-10-27,2005-02-08,11:00,05:15,27.76,86.07,5,NSC,Dolakha
2061-10-4,2005-01-16,11:00,05:15,29.68,81.14,5,NSC,Bajhang
2061-10-4,2005-01-16,11:00,05:15,29.81,81.04,4.5,NSC,Bajhang
2064-8-16,2007-12-01,11:00,05:15,28.05,85.28,4.1,NSC,Rasuwa
2064-7-20,2007-11-05,11:00,05:15,28.2,84.45,4.5,NSC,Lamjung
2064-7-13,2007-10-29,11:00,05:15,27.9,85.45,5,NSC,Nuwakot
2064-6-26,2007-10-12,11:00,05:15,27.75,86.12,4,NSC,Dolakha
2064-5-22,2007-09-07,11:00,05:15,28.05,85.33,4.2,NSC,Rasuwa
2064-5-22,2007-09-07,11:00,05:15,27.72,86.26,4.1,NSC,Dolakha
2066-1-1,2009-04-13,11:00,05:15,28.25,84.54,4.3,NSC,Lamjung
2066-1-1,2009-04-13,11:00,05:15,28.3,84.55,4,NSC,Lamjung
2065-11-30,2009-03-12,11:00,05:15,28.43,84.42,4.1,NSC,Lamjung
2065-11-26,2009-03-08,11:00,05:15,27.41,87.8,4.5,NSC,Taplejung
2065-10-11,2009-01-23,11:00,05:15,29.05,81.4,4.2,NSC,Achham
2065-9-27,2009-01-10,11:00,05:15,27.9,88.04,4.2,NSC,Taplejung
2072-9-16,2015-12-31,07:41,01:56,27.86,85.72,4.3,NSC,Sindhupalchowk
2064-4-27,2007-08-11,11:00,05:15,27.28,87.9,5.2,NSC,Taplejung
2064-4-22,2007-08-06,11:00,05:15,27.84,85.69,4.1,NSC,Sindhupalchowk
2064-4-19,2007-08-03,11:00,05:15,27.21,87.97,4.4,NSC,Panchthar
2064-4-19,2007-08-03,11:00,05:15,27.24,87.02,4,NSC,Bhojpur
2064-4-19,2007-08-03,11:00,05:15,27.2,87.04,4.3,NSC,Bhojpur
